_merge_key,stop_name,boardings,alightings,passengers,route_count,lat,lon,district,total_riders,boardings_per_route,hourly_pattern_boardings,morning_boardings,evening_boardings,peak_hour,peak_hour_label,morning_concentration,evening_concentration,boarding_alighting_diff,boarding_alighting_imbalance,stop_type
name:가천동앞|,가천동앞,514,662,662,1.0,35.85140918,128.6853485,수성구,1176,514.0,1.0,1.0,0.0,7.0,7시,100.0,0.0,-148,0.12585034013605442,저이용형
name:가천리|,가천리,93,138,138,2.0,35.65967595,128.4524807,달성군,231,46.5,0.0,0.0,0.0,5.0,5시,,,-45,0.19480519480519481,저이용형
name:가천입구|,가천입구,149,0,0,,,,,149,,0.0,0.0,0.0,5.0,5시,,,149,1.0,저이용형
name:가천입구건너|,가천입구건너,17,20,20,,,,,37,,0.0,0.0,0.0,5.0,5시,,,-3,0.08108108108108109,저이용형
name:가태2리마을입구|,가태2리마을입구,359,10,10,1.0,35.65156283,128.4736065,달성군,369,359.0,0.0,0.0,0.0,5.0,5시,,,349,0.94579945799458,저이용형
name:가태리마을회관건너|,가태리마을회관건너,1654,286,286,1.0,35.649814,128.4728171,달성군,1940,1654.0,43.0,31.0,0.0,9.0,9시,72.09302325581395,0.0,1368,0.7051546391752578,저이용형
name:가태리마을회관앞|,가태리마을회관앞,196,15,15,1.0,35.64991,128.47299,달성군,211,196.0,1.0,1.0,0.0,9.0,9시,100.0,0.0,181,0.8578199052132701,저이용형
name:가호1|,가호1,1217,205,205,1.0,36.092410834999995,128.66548415,군위군,1422,1217.0,22.0,21.0,0.0,9.0,9시,95.45454545454545,0.0,1012,0.7116736990154712,저이용형
name:가호1리 마을회관|,가호1리 마을회관,2953,37,37,1.0,36.087225835,128.66511,군위군,2990,2953.0,87.0,81.0,2.0,7.0,7시,93.10344827586206,2.2988505747126435,2916,0.9752508361204013,출근형
name:각산비나리공원건너|,각산비나리공원건너,22329,4072,4072,2.0,35.87861573,128.7155047,동구,26401,11164.5,746.0,64.0,236.0,18.0,18시,8.579088471849866,31.63538873994638,18257,0.691526836104693,퇴근형
name:각산비나리공원앞|,각산비나리공원앞,66312,5647,5647,1.0,35.87879175,128.7157025,동구,71959,66312.0,2200.0,475.0,389.0,7.0,7시,21.59090909090909,17.681818181818183,60665,0.843049514306758,생활형
name:각산역(1번출구)|,각산역(1번출구),82269,38015,38015,4.0,35.86754442,128.7224967,동구,120284,20567.25,2834.0,447.0,829.0,18.0,18시,15.772759350741003,29.25194071983063,44254,0.36791260683050114,퇴근형
name:각산역(2번출구)|,각산역(2번출구),23317,44002,44002,4.0,35.86753167,128.7230917,동구,67319,5829.25,800.0,116.0,209.0,22.0,22시,14.499999999999998,26.125,-20685,0.3072683789123427,퇴근형
name:각산태영데시앙건너|,각산태영데시앙건너,128330,72403,72403,9.0,35.872121,128.7097876,동구,200733,14258.888888888889,4412.0,1244.0,859.0,7.0,7시,28.195829555757022,19.469628286491385,55927,0.27861388012932603,출근형
name:각산푸르지오|,각산푸르지오,76242,31631,31631,2.0,35.87418,128.7139433,동구,107873,38121.0,2843.0,689.0,620.0,7.0,7시,24.234963067182555,21.80794934927893,44611,0.41355112029887,생활형
name:갈실마을회관종점|,갈실마을회관종점,9957,2797,2797,1.0,35.75511653,128.4544469,달성군,12754,9957.0,322.0,107.0,52.0,9.0,9시,33.22981366459628,16.149068322981368,7160,0.5613925043123726,출근형
name:감문1리1|,감문1리1,47,141,141,1.0,35.89400667,128.4285883,달성군,188,47.0,0.0,0.0,0.0,5.0,5시,,,-94,0.5,저이용형
name:감문1리2|,감문1리2,2657,142,142,1.0,35.89422237,128.428598,달성군,2799,2657.0,57.0,21.0,1.0,9.0,9시,36.84210526315789,1.7543859649122806,2515,0.8985351911396927,출근형
name:감문1리3|,감문1리3,19,641,641,1.0,35.89729,128.4351583,달성군,660,19.0,0.0,0.0,0.0,5.0,5시,,,-622,0.9424242424242424,저이용형
name:감문1리4|,감문1리4,186,1,1,1.0,35.89739,128.435163,달성군,187,186.0,0.0,0.0,0.0,5.0,5시,,,185,0.9893048128342246,저이용형
name:감문리(삼실)건너|,감문리(삼실)건너,1956,9,9,4.0,35.88629167,128.421135,달성군,1965,489.0,25.0,19.0,0.0,9.0,9시,76.0,0.0,1947,0.9908396946564886,저이용형
name:감문리(삼실)앞|,감문리(삼실)앞,84,1548,1548,4.0,35.88622492,128.4212575,달성군,1632,21.0,0.0,0.0,0.0,5.0,5시,,,-1464,0.8970588235294118,저이용형
